Series,N,NF,Category,Starting Year,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
N  98,20,6,MICRO       ,1975,1,1164.97,1277.87,1437.7,1216.39,1459.31,2052,2097,1752,1295,1217,3084,2719,2634,2485,2689,2801,2465,2135,1801,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,
N  99,20,6,MICRO       ,1975,1,1870,1307.2,2556.1,2647,2575,3064.3,3411.6,5317.2,3785.3,4701.4,3309.6,4186.7,3754.7,3852,3192,4865.6,4231,3781.4,2379.3,2723,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 100,20,6,MICRO       ,1975,1,1424.7,1546.5,1615.7,1868.7,2041.5,2303.3,2615,2123,2295,2515,2011,2166,2210,2540,2385,3145,3157,3463,3539,4167,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 101,20,6,MICRO       ,1975,1,3903,3834,4133,5134,5858,6370,5602,5345,5240,5152,5773,6248,5368,5726,6145,7808,7448,8869,8302,9070,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 102,20,6,MICRO       ,1975,1,1566.4,1343.5,1447,1465.1,1768.8,1660.3,1630.9,1325.7,950.5,989.5,1625.1,1809.6,1872.4,2130.9,2093.4,2064.8,1809.7,1640.3,1937,2370.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 103,20,6,MICRO       ,1975,1,1283.4,1462.2,1492.6,1740.6,2159.2,5001.8,5326,4860,7786,9160,8560,7120,7260,4820,4740,5140,4120,3780,3980,4220,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 104,20,6,MICRO       ,1975,1,1439.5,1928.6,2336.6,2956.7,3159.9,3010.2,3795.8,2503.8,2158.6,3148.5,2819.2,3504.1,4132.7,4635.9,4277.9,4460,4383,4404,4402,5144,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 105,20,6,MICRO       ,1975,1,2345.4,3247.5,3803.8,4710.6,6034.3,6190.5,6018.2,5731.1,6124.5,6912.7,7067.9,6899.8,7263.1,7279.2,7115.2,6958.4,5961.1,6322.8,6499,7402,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 106,20,6,MICRO       ,1975,1,3329.5,3267.05,3235.7,4191.1,3456.1,3779.15,4298.05,3641.75,3333.6,3928.7,4545.2,4474.05,3852.55,4872.4,5531.65,6406.35,5817.1,5525.3,5294.5,5297.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 107,20,6,MICRO       ,1975,1,1748.1,2717,4428.6,5533.8,7271.95,6490.95,1152.85,979,1102.15,1194.85,1123.5,1374.25,1266.25,1404.1,1650.75,2140.65,1757.35,1671.3,1747,2085.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 108,20,6,MICRO       ,1975,1,2867.76,2851.68,3076.8,3241.84,3239.28,4195.28,4374.8,4119.68,5371.36,5418.64,5991.2,5073.12,4878.16,5432.72,5655.28,9712.32,6237.2,6003.52,8888.88,9321.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 109,20,6,MICRO       ,1975,1,2518.05,3164.4,3288.5,3256.45,5790.5,6710,9365,6825,6310,7075,6575,5335,5545,3650,2545,3450,1740,360,3210,2280,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 110,20,6,MICRO       ,1975,1,1194.15,1422.65,1633.1,1858.4,2004.25,2516.85,2930.85,3316.3,3563.65,3947.25,4308.15,4628.05,5015.75,4899.25,5696.15,6483.45,742.6,5794.6,4617.2,5971.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 111,20,6,MICRO       ,1975,1,6509.2,6896.4,7032,6502,5602,6701.2,6845.2,7518.8,8739.6,10129.2,9226,9667.6,7762.4,8378,7612.4,199.6,7759.6,7802,2109.6,6560.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 112,20,6,MICRO       ,1975,1,1623.25,2140.55,2451.15,2964.45,3619.1,3764.25,4156,3374.55,4268.55,5290.7,5635.2,5845.9,7286.05,7686.95,8680,8305,7825,8025,7785,9430,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 113,20,6,MICRO       ,1975,1,2032,2085.05,2068.75,1978.9,2472.25,2819.6,3016.45,2731.85,2506.75,5833.6,4474,7208.75,15586.15,25052.3,25805,16960,10480,7475,11160,12505,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 114,20,6,MICRO       ,1975,1,658.7,780.2,827.6,874.9,695.9,881.4,1188.1,1478.3,2087.4,975,1475.1,2137.5,2826.4,3867.3,5057.9,5982.1,7016.4,6686.8,6658.9,2828.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 115,20,6,MICRO       ,1975,1,224.04,237.04,269.1,358.82,486.92,597.62,752.56,947.72,1131.28,1312.6,1500.14,1766.78,1966.26,2465.1,3644.38,4284.78,4706.34,5213.12,5935.9,6479.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 116,20,6,MICRO       ,1975,1,1514.05,1821.61,2423.21,3057.39,4393.68,4226.48,5031,3610,4068,6809,6583,3460,4745,4936,2481,1598,587,1250,1455,618,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 117,20,6,MICRO       ,1975,1,1702.2,2085.8,2513.8,3034.4,3588.5,3947.2,4146.4,3299.9,3801.1,5190.9,4637.6,5232.5,7034.4,8543.3,8236.8,8328.8,8353.7,10565.4,11281.7,5541.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 118,20,6,MICRO       ,1975,1,4759.35,4500.9,5850.85,6881.2,8114.6,7898.1,8595.55,3443.05,3587,6144.8,3535.8,245.2,4745.9,7728.2,7303.3,7809.05,3659.1,5924.35,5004.9,9385.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 119,20,6,MICRO       ,1975,1,5275.58,5832.8,5815.04,5981.24,5905,5427.64,5168.82,5195.24,5605.68,6436.12,6610.6,5569.16,6463.16,6883.56,5939.64,6334.18,1558,5533.68,5446.26,6532.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 120,20,6,MICRO       ,1975,1,350.9,492.8,772.25,1049.35,1378.45,1446.2,1752.5,1871,2294.5,2643.75,2825.9,3643.45,4984.35,6595.35,8141.45,8500,9115.7,8088.35,6772.2,9537.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 121,20,6,MICRO       ,1975,1,2033.02,2050.2,2077.3,2116.78,2155.18,2243.52,2380.02,2378.9,2100.38,2520.48,2496.34,2660.3,2816.78,2891.88,3043,3373.08,4412.32,5624,412,4172,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 122,20,6,MICRO       ,1975,1,1936.55,2193.45,2295.9,2749.15,2734,3259.7,3661.2,4521.35,5607.65,6330.75,7058.5,8031.45,8689.9,7906.9,7795.55,5036.15,4601.45,6746.7,4827.35,6615,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 123,20,6,MICRO       ,1975,1,1397,1561.8,1847.7,2154.55,2913.3,3318.55,3564,3605.65,4765,4965,4990,405,5040,5225,5690,6170,3775,7855,7985,9815,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 124,20,6,MICRO       ,1975,1,1475,1825,2073,2301,2175,2609,2886,2098,3659,3514,4108,4046.99,7011.99,5485.99,5395,6004,6129,4791,4753,4206,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 125,20,6,MICRO       ,1975,1,3618,3359.2,4272.8,5838,4062,3151.2,1734.8,2029.6,3686,5754,3984.4,3734.8,3250,4376.4,4474.8,3816.8,2790.4,4068,4270.8,3671.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 126,20,6,MICRO       ,1975,1,939.3,1189.1,1522,1954.8,2362.6,2151.2,1950.3,1830.6,2353.1,2980,3314.4,3719.8,3912.4,3860.2,4807.9,4719,4450.2,6249.8,7761.4,10113.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 127,20,6,MICRO       ,1975,1,3326.29,3466.12,3606.6,3955,4600,4701,3936,3147,2555,4840,672,4639,5706,8656,9325,7108,6192,3748,1649,6165,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 128,20,6,MICRO       ,1975,1,2080.5,1890,2084,3091,3920,3700,3425.5,2950.5,2387,3243.5,4613,4829.5,4160.5,8290.5,9227.5,7182,3622,4894.5,6023,8049.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 129,20,6,MICRO       ,1975,1,3757,4210,4219.5,4554.5,5629,5496.5,5677,4181,3281.5,4740,485,3415,3975,6175,5855,4420,1355,2560,2705,3815,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 130,20,6,MICRO       ,1975,1,2644.66,2733.3,2825.46,2947.14,3078.22,2659.36,2866.6,2980.4,3204.6,3249,3173.2,2801.2,4391.4,4617.6,1906.8,2307.8,634.6,3389.2,3387.4,2815.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 131,20,6,MICRO       ,1975,1,360.7,436.22,543.5,622.74,723.82,896.52,1070.56,1276.4,1625.3,1943.3,2167.9,2407.78,2956.58,3575.08,4138.5,4856.04,5763.38,6722.46,7895.96,8313.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 132,20,6,MICRO       ,1975,1,2248.7,2991.1,3069.9,2991.3,3002.3,3506.8,3798.6,4193,5759.1,6406,6568.5,6727,7027.7,7444.7,8003.8,8629.9,8251.1,8941.5,9484.5,10395.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 133,20,6,MICRO       ,1975,1,4308.15,3997.2,4260,3913.95,4767.3,4773.45,4784.55,5398.95,6637.95,7480.05,7134.3,7133.4,7405.95,7921.8,7636.05,6775.35,1399.65,5427.6,6233.55,7554.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 134,20,6,MICRO       ,1975,1,1101,1198.5,1322.5,1644.5,1934,2160,2311,2596,3109,3990,5217.5,5846.5,6171,7061.5,6747.5,6221.5,6009.5,5205.5,5264,5640,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 135,20,6,MICRO       ,1975,1,5631,5690,6243,6734.5,6332,6845.5,7056,6829,5674.5,6740,6977,6558.5,5968.5,6200,7613,7778.5,2413,6567.5,5868,3307,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 136,20,6,MICRO       ,1975,1,5585.65,5391.9,5482.75,5909.5,6248.85,6179.75,5948.7,6033.7,3894.35,4877.15,5802.15,5494.65,5815.1,4061.25,5611.9,5498.5,5495.1,5496.95,5584.7,5470.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 137,20,6,MICRO       ,1975,1,2871.6,3145.8,3352.2,3643.8,4255,5358.4,6453.8,2599.4,123.6,4027.8,3344.6,1537.8,2252.8,3536.6,3683.4,3937,4128.4,4063,3795.2,4135.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 138,20,6,MICRO       ,1975,1,5208.5,5420.5,5365,5526.5,5493,5434,5171.5,4637,4178.5,4303.5,4754.5,5683,6188,5546.5,4553,4694.5,4841.5,6244,5838.5,6496,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 139,20,6,MICRO       ,1975,1,2514,2167,2231,2954,2221,750,1024,1766,4107,5386,5476,3904,3823,3880,3436,1746,1071,3001,6140,8670,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 140,20,6,MICRO       ,1975,1,543.9,439.05,370.95,728.4,1137.6,1519.05,1030.5,655.2,1301.4,1791.45,1918.8,2644.65,2832.9,3466.2,4249.5,4078.8,6529.5,8049,8069.85,8949.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 141,20,6,MICRO       ,1975,1,1494.15,1706.03,1984.73,2358.75,2816.85,3264.75,3717.45,4201.35,4796.03,5224.88,5669.17,6139.42,6965.03,7657.73,8130.23,8242.13,7871.93,7311,7519.88,8014.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 142,20,6,MICRO       ,1975,1,5221.5,5299,5066,5229,4124.5,5278,5650.5,5586.5,4733.5,3856.5,5632.5,5977.5,6334,6228.5,6405,5934.5,6204.5,6358,6031,5938,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 143,20,6,MICRO       ,1975,1,1466,1764,1986,2238,2374,2418,2634,4290,4736,5598,5702,6070,6878,6572,7134,7544,6744,7334,7196,8164,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 144,20,6,MICRO       ,1975,1,1198,1427.5,1748,2028.5,2435,1993,2458,2036,2321.5,3472.5,2047,2314,2709.5,3007.5,3286.5,3703,2749.5,3783.5,4504.5,5363.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 145,20,6,MICRO       ,1975,1,1109.31,1228.26,1235.82,1350.42,1528.77,1411.2,1366.05,1569.54,1658.07,1666.53,1822.26,2176.02,2733.57,3313.62,3923.31,4326.66,4720.41,5351.37,6283.68,8147.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
N 146,20,6,MICRO       ,1975,1,963.45,1234.95,1841,2775.5,3402.15,2895.55,2151.3,2321.55,2195.7,3012.55,2880.75,2541.7,3017.3,4199.45,3330.55,3326.2,3975.25,4276.15,6718.35,7899.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
